Nombre científico	Nombres comunes	Categoria taxonómica	Estatus	Tipo distribución	Usos y Agrobiodiversidad	Ambiente	Numero de registros	Nombre común principal	Foto principal	Reino	División	Phylum	Clase	Orden	Familia	Género	Especie	Bibliografía	URL Enciclovida	Identificador EncicloVida	Identificador CAT
Myrtillocactus geometrizans	"Bastó (Otomí), Baxta (Otomí), Bazto (Otomí), Biti-xoba (Otomí), Cactus del arándano (Español), Chigus (Zapoteco), Claveles de carambullos (Español), Claveles de garambullo (Español), Garambullo (Español), Garambuyo (Español), Garbancilla (Español), Ndíchi nóni (Mixteco), Padre nuestro (Español), Pitahaya (Español), Shishova (Zapoteco), Tepepoa (Náhuatl), Tepepoa-nochtli (Náhuatl), Tnu dichi noni (Mixteco), Too dichi noni (Mixteco), Túchi-lásha (Popoloca), Órgano (Español)"	especie	válido	"Endémica,Nativa"	"Ornamental, Maderable, Parientes silvestres de cultivos"	Terrestre	544	Garambullo	https://inaturalist-open-data.s3.amazonaws.com/photos/54591932/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Myrtillocactus	Myrtillocactus geometrizans	"Hunt, D. R. 2016.CITES Cactaceae Checklist, 3a ed. Royal Botanic Gardens Kew, CITES, IOS, England, London, 174 pp.
Console, M. 1897. . Bollettino delle Reale Orto Botanico e Giardino Coloniale di Palermo. . 1. Palermo. Italy.
Arias, S., Gama-López, S., Guzmán-Cruz, U. & Vázquez-Benítez, B. 2012. Fl. Valle Tehuacán-Cuicatlán. Fasciculo 95. Cactaceae. Instituto de Biología, UNAM. 235 pp. 95.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/143953-myrtillocactus-geometrizans	143953	8005ANGIO
Hylocereus undatus	"Chac (Español), Chacam (Maya), Chacomb (Español), Chacoub (Español), Chacwob (Maya), Chak-wob (Maya), Chakam (Maya), Cuauhnochtli (Náhuatl), Dama de la noche (Español), Jacube (Español), Junco (Español), Junco tapatío (Español), La-po-lei-fa (Chontal de Oaxaca), Nochtli (Náhuatl), Orejona (Español), Penxacub (Huasteco), Pitahaya (Español), Pitahaya orejona (Español), Pitajaya (Español), Pitaya (Español), Pitaya dulce (Español), Pitaya orejona (Español), Pitaya reina de la noche (Español), Pitayo trepador (Español), Ra kä'we (Tepehua), Reina de la noche (Español), Sak-wob (Maya), Sakwob (Maya), Tasajo (Español), Tasayo (Español), Teonochtli (Náhuatl), Uo (Maya), Uob (Maya), Uoo (Maya), Wab (Maya), Wob (Maya), Woo (Maya), Xacob (Maya), Xacub (Huasteco), Zacam (Maya), Zacamb (Maya), Zacomb (Español), Zaconib (Maya), Zacoub (Español), Zak wob (Maya), Zakomb (Maya)"	especie	válido	Nativa	"Ambiental, Materiales, Medicinal, Ornamental, Consumo humano, Parientes silvestres de cultivos"	Terrestre	5	Pitahaya	https://inaturalist-open-data.s3.amazonaws.com/photos/51196862/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Hylocereus	Hylocereus undatus	"Britton, N. L. 1918.Flora of Bermuda. Charles Scribner´s Sons. New York. 585 pp.
Guzmán, U., Arias, S. & Dávila, P. 2003.Catálogo de Cactáceas Mexicanas. UNAM, CONABIO, México, D. F.
Arias, S., Gama-López, S., Guzmán-Cruz, U. & Vázquez-Benítez, B. 2012. Fl. Valle Tehuacán-Cuicatlán. Fasciculo 95. Cactaceae. Instituto de Biología, UNAM. 235 pp. 95."	https://enciclovida.mx:443/especies/143991-hylocereus-undatus	143991	8043ANGIO
Pachycereus pringlei	"Cardón (Español), Cardón gigante (Español), Cardón pelón (Español), Giant cactus (Inglés), Giant organ cactus (Inglés), Hecho (Español), Mojeppe (Español), Sabueso (Español), Saguesa (Español), Sagüara (Español), Sagüera (Español), Sahueso (Español), Xaasj (Seri)"	especie	válido	"Endémica,Nativa"	"Medicinal, Ornamental, Maderable, Parientes silvestres de cultivos"	Terrestre	1	Cardón	https://inaturalist-open-data.s3.amazonaws.com/photos/14294258/medium.jpg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Pachycereus	Pachycereus pringlei	"Britton, N. L. & Rose, J. N. 1909. The genus Cereus and its allies in North America. Contr. U.S. Natl. Herb. 12: 413-437.
Hunt, D. R. 2016.CITES Cactaceae Checklist, 3a ed. Royal Botanic Gardens Kew, CITES, IOS, England, London, 174 pp.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/144024-pachycereus-pringlei	144024	8076ANGIO
Stenocereus griseus	"Mezcalito (Español), Pitahaya (Español), Pitaya (Español), Pitaya de mayo (Español), Pitayo (Español), Pitayo de mayo (Español), Pitayo de mitla (Español), Quapetla (Náhuatl)"	especie	válido	Nativa	Parientes silvestres de cultivos	Terrestre	22	Mezcalito	https://static.inaturalist.org/photos/2514624/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Stenocereus	Stenocereus griseus	"Buxbaum, F. 1961. Die Entwicklungslinien der tribus Pachycereae F. Buxb. (Cactaceae-Cereoideae). Botanische Studien. . 12: 1-107. .
Guzmán, U., Arias, S. & Dávila, P. 2003.Catálogo de Cactáceas Mexicanas. UNAM, CONABIO, México, D. F.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/144033-stenocereus-griseus	144033	8085ANGIO
Stenocereus pruinosus	"Al-ca-uo-she (Chontal de Oaxaca), Al-ca-uo-shé (Chontal de Oaxaca), Cuapetla (Náhuatl), Cuapetla nochtli (Náhuatl), Dichi (Mixteco), Kuluub (Maya), Ndíchi cuán (Mixteco), October pitayo tree (Inglés), Pitaya (Español), Pitaya de mayo (Español), Pitayo (Español), Pitayo de mayo (Español), Pitayo de octubre (Español), Tnu dichi kua'a (Mixteco), Too dichi kua'a (Mixteco), Túchi chína (Popoloca), Xoconoxtle (Náhuatl)"	especie	válido	"Endémica,Nativa"	"Ornamental, Parientes silvestres de cultivos"	Terrestre	1	Pitayo	https://static.inaturalist.org/photos/4256908/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Stenocereus	Stenocereus pruinosus	"Buxbaum, F. 1961. Die Entwicklungslinien der tribus Pachycereae F. Buxb. (Cactaceae-Cereoideae). Botanische Studien. . 12: 1-107. .
Hunt, D. R. 2016.CITES Cactaceae Checklist, 3a ed. Royal Botanic Gardens Kew, CITES, IOS, England, London, 174 pp.
Arias, S., Gama-López, S., Guzmán-Cruz, U. & Vázquez-Benítez, B. 2012. Fl. Valle Tehuacán-Cuicatlán. Fasciculo 95. Cactaceae. Instituto de Biología, UNAM. 235 pp. 95.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/144038-stenocereus-pruinosus	144038	8090ANGIO
Stenocereus queretaroensis	"Cardón (Español), Pitahaya (Español), Pitahaya de Querétaro (Español), Pitaya (Español), Pitaya de Querétaro (Español), Pitayita (Español), Pitayo (Español), Pitayo de querétaro (Español), Queretaro pitayo tree (Inglés), Órgano (Español)"	especie	válido	"Endémica,Nativa"	"Ornamental, Maderable, Parientes silvestres de cultivos"	Terrestre	105	Cardón pitayo	https://inaturalist-open-data.s3.amazonaws.com/photos/89654382/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Stenocereus	Stenocereus queretaroensis	"Buxbaum, F. 1961. Die Entwicklungslinien der tribus Pachycereae F. Buxb. (Cactaceae-Cereoideae). Botanische Studien. . 12: 1-107. .
Hunt, D. R. 2016.CITES Cactaceae Checklist, 3a ed. Royal Botanic Gardens Kew, CITES, IOS, England, London, 174 pp.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/144039-stenocereus-queretaroensis	144039	8091ANGIO
Cephalocereus polylophus	"Tetecho costilludo (Español), Órgano (Español), Órgano dorado (Español)"	especie	válido	"Endémica,Nativa"	"Ornamental, Parientes silvestres de cultivos"	Terrestre	3	Tetecho costilludo	https://inaturalist-open-data.s3.amazonaws.com/photos/584176/medium.JPG	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Cephalocereus	Cephalocereus polylophus	"Britton, N. L. & Rose, J. N. 1909. The genus Cereus and its allies in North America. Contr. U.S. Natl. Herb. 12: 413-437.
Guzmán, U., Arias, S. & Dávila, P. 2003.Catálogo de Cactáceas Mexicanas. UNAM, CONABIO, México, D. F.
Tapia, H. J., Bárcenas-Argüello, M. L., Terrazas, T. & Arias, S. 2017. Phylogeny and Circumscription of Cephalocereus (Cactaceae) Based on Molecular and Morphological Evidence. Syst. Bot. 42(4): 709-723
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/144556-cephalocereus-polylophus	144556	8608ANGIO
Opuntia atropes	"Nopal (Español), Nopal blanco (Español), Nopal castillo (Español), Nopal corriente (Español), Nopal manso (Español), Rojo pelón (Español), White prickly pear (Inglés)"	especie	válido	"Endémica,Nativa"	"Ornamental, Parientes silvestres de cultivos"	Terrestre	8	Nopal manso	https://static.inaturalist.org/photos/25236022/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Opuntia	Opuntia atropes	"Guzmán, U., Arias, S. & Dávila, P. 2003.Catálogo de Cactáceas Mexicanas. UNAM, CONABIO, México, D. F.
Britton, N. L. & Rose, J. N. 1908. A Preliminary Treatment of the Opuntioideae of North America. Smithsonian Misc. Collect.50: 503-539."	https://enciclovida.mx:443/especies/145048-opuntia-atropes	145048	9100ANGIO
Opuntia cantabrigiensis	"Arrastradillo (Español), Coyonoxtle (Español), Cuija (Español), Cuija prickly pear (Inglés), Cuijo (Español), Nopal cuija (Español), Nopal cuijo (Español), Nopal cuixo (Español)"	especie	válido	"Endémica,Nativa"	"Ornamental, Parientes silvestres de cultivos"	Terrestre	61	Cuija	https://enciclovida.mx/fotoweb/cache/v2/6/X/Plantas/3610%20Opuntia%20cantabrigiensis.jpg.nyfwiMXMMUH7KXlhsAng0JtbmFja29CbnFuZ3NAbXJ6LGtwZQA.DCvH1QZjyc.jpg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Opuntia	Opuntia cantabrigiensis	"Lynch, R. I. 1903. Opuntia cantabrigiensis. Gardener's chronicle, ser. 3. . 33: 98. .
Guzmán, U., Arias, S. & Dávila, P. 2003.Catálogo de Cactáceas Mexicanas. UNAM, CONABIO, México, D. F."	https://enciclovida.mx:443/especies/145067-opuntia-cantabrigiensis	145067	9119ANGIO
Opuntia cochenillifera	"Bi-aa (Zapoteco), Bi-yaa (Zapoteco), Lengua de vaca (Español), Noch-eztli (Náhuatl), Nochestli nopale (Náhuatl), Nocheznopal (Náhuatl), Nocheznopalli (Náhuatl), Nopal (Español), Nopal costeño (Español), Nopal de San Gabriel (Español), Nopal de cochinilla (Español), Nopal de huerto (Español), Nopal de lengüita (Español), Nopal de tuna pequeña (Español), Nopal lengüita (Español), Nopal nocheztli (Español), Nopal verdura (Español), Nopalillo (Español), Nopalitos (Español), Nopalnocheztli (Náhuatl), Paak'am (Maya), Pak'am (Maya), Tlalnopal (Náhuatl)"	especie	válido	"Endémica,Nativa"	"Ornamental, Parientes silvestres de cultivos"	Terrestre	12	Nopal de la cochinilla	https://inaturalist-open-data.s3.amazonaws.com/photos/12977203/medium.jpeg	Plantae	Tracheophyta		Equisetopsida	Caryophyllales	Cactaceae	Opuntia	Opuntia cochenillifera	"Miller, P. 1768.The Gardeners Dictionary. Ed. 8. Philip Miller, London. sine pag.
Hunt, D. R. 2016.CITES Cactaceae Checklist, 3a ed. Royal Botanic Gardens Kew, CITES, IOS, England, London, 174 pp.
Arias, S., Gama-López, S., Guzmán-Cruz, U. & Vázquez-Benítez, B. 2012. Fl. Valle Tehuacán-Cuicatlán. Fasciculo 95. Cactaceae. Instituto de Biología, UNAM. 235 pp. 95.
Korotkova, N., Aquino, A., Arias, S., Eggli, U., Frank, A., F., Gómez-Hinostrosa, C., Guerrero, P. C., Hernández, H. M., Kohlbecker, A., Köhler, M., Luther, K., Majure, L. C., Müller, A., Metzing, D., Nyffeler, R., Sánchez, D., Schlumpberger, B. & Berends. 2021. Cactaceae at Caryophyllales.org - a dynamic online species-level taxonomic backbone for the family. Willdenowia. 51(2): 251-270. open access DOI: 10.3372/wi.51.51208; accesed on Caryophyllales.org/Cactaceae [07/06/2022]"	https://enciclovida.mx:443/especies/145075-opuntia-cochenillifera	145075	9127ANGIO
